PWSID,PWSID_URL,ac_address,ac_addressURL,ac_phone1Type,ac_phone1,ac_phone2Type,ac_phone2,ac_email,ac2_address,ac2_addressURL,ac2_phone1Type,ac2_phone1,ac2_phone2Type,ac2_phone2,ac2_email,pl_address,pl_addressURL,pl_phone1Type,pl_phone1,pl_phone2Type,pl_phone2,pl_email,pl2_address,pl2_addressURL,pl2_phone1Type,pl2_phone1,pl2_phone2Type,pl2_phone2,pl2_email,healthDistrictName,healthDistrictPhone,healthDistrictEmail,healthDistrictAddress
CA0410008   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=100&tinwsys_st_code=CA&wsnumber=CA0410008   ,"410 GRAND AVENUE

	
	

	
    
    
    

	OROVILLE,CA95965",http://maps.google.com/maps?q=410 GRAND AVENUE  OROVILLE CA 95965,Business,530-533-0740   ,,,,,,,,,,,CA0410008-THERMALITO WATER & SEWER DISTR,,,,,,www.twsd.info,,,,,,,,DISTRICT 21 - VALLEY,"
   
	
	  
      530-224-4800   
   	 
     
    ",dwpdist21@waterboards.ca.gov ,"364 Knollcrest Dr., Suite 101 

    
    REDDING 
    CA 96002"
CA1900045   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2186&tinwsys_st_code=CA&wsnumber=CA1900045   ,"77500 Varner rd.

	
	

	
    
    
    

	PALM DESERT,CA92211",http://maps.google.com/maps?q=77500 Varner rd.  PALM DESERT CA 92211,Business,760-345-2236   ,,,,,,,,,,,CA1900045-1000 TRAILS / SOLEDAD CYN PRES,,,,,,,,,,,,,,LPA49 - LA COUNTY,"
   
	
	  
      626-430-5420   
   	 
     
    ",waterquality@ph.lacounty.gov ,"5050 Commerce Drive 

    
    BALDWIN PARK 
    CA 91706"
CA2800014   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=13496&tinwsys_st_code=CA&wsnumber=CA2800014   ,"620 Trancas Street

	
	

	
    
    
    

	NAPA,CA94558",http://maps.google.com/maps?q=620 Trancas Street  NAPA CA 94558,Business,310-614-3493   ,,,,,,,,,,,"AURELIEN ROULIN, OWNER",,Business,310-614-3493   ,,,Aurelien@1111wines.com,,,,,,,,LPA58 - NAPA COUNTY,"
   
	
	  
      707-253-4471   
   	 
     
    ",stacey.harrington@countyofnapa.org ,"1195 Third Street, Ste. 210 

    
    NAPA 
    CA 94559"
CA4000725   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=9451&tinwsys_st_code=CA&wsnumber=CA4000725   ,"141SUBURBAN RD A-5

	
	

	
    
    
    

	SAN LUIS OBISPO,CA93401",http://maps.google.com/maps?q=141SUBURBAN RD A-5  SAN LUIS OBISPO CA 93401,Business,805-544-4300   ,,,,,,,,,,,CA4000725-141 SUBURBAN ROAD WATER SUPPLY,,,,,,,,,,,,,,LPA70 - SAN LUIS OBISPO COUNTY,"
   
	
	  
      805-781-5544   
   	 
     
    ",lterry@co.slo.ca.us ,"P.O. Box 1489 

    
    SAN LUIS OBISPO 
    CA 93406"
CA1503684   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14926&tinwsys_st_code=CA&wsnumber=CA1503684   ,"P.O. BOX 1390

	
	

	
    
    
    

	INYOKERN,CA93527",http://maps.google.com/maps?q=P.O. BOX 1390  INYOKERN CA 93527,Business,760-377-5695   ,,,,,,,,,,,CA1503684-ONE FORTY EIGHT EAST WATER SYS,,,,,,,,,,,,,,DISTRICT 19 - TEHACHAPI,"
   
	
	  
      661-335-7315   
   	 
     
    ",dwpdist19@waterboards.ca.gov ,"4925 COMMERCE DRIVE, SUITE 120 

    
    BAKERSFIELD 
    CA 93309"
CA1700725   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=1998&tinwsys_st_code=CA&wsnumber=CA1700725   ,"P.O. Box 3001

	
	

	
    
    
    

	NICE,CA95464",http://maps.google.com/maps?q=P.O. Box 3001  NICE CA 95464,Business,707-275-8026   ,,,,,,,,,,,CA1700725-THREE BROTHERS TRAVEL PLAZA,,,,,,,,,,,,,,DISTRICT 03 - MENDOCINO,"
   
	
	  
      707-576-2145   
   	 
     
    ",,"50 D STREET SUITE 200 

    
    SANTA ROSA 
    CA 95404"
CA0901281   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=13405&tinwsys_st_code=CA&wsnumber=CA0901281   ,"3957 IRONWOOD DRIVE

	
	

	
    
    
    

	EL DORADO HILLS,CA95762",http://maps.google.com/maps?q=3957 IRONWOOD DRIVE  EL DORADO HILLS CA 95762,Business,530-622-5061   ,,,,,,,,,,,CA0901281-30 MILESTONE TRACT #1,,,,,,,,,,,,,,LPA39 - EL DORADO COUNTY,"
   
	
	  
      530-621-5300   
   	 
     
    ",,"2850 Fairlane Court 

    Building C,

    PLACERVILLE 
    CA 95667"
CA3500557   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3685&tinwsys_st_code=CA&wsnumber=CA3500557   ,"PO Box 780

	
	

	
    
    
    

	TRES PINOS,CA95075",http://maps.google.com/maps?q=PO Box 780  TRES PINOS CA 95075,Business,831-628-3421   ,,,,,,,,,,,CA3500557-33RD DISTRICT AGRICULTURAL ASS,,,,,,www.sanbenitocountyfair.com,,,,,,,,DISTRICT 05 - MONTEREY,"
   
	
	  
      831-655-6939   
   	 
     
    ",,"1 LOWER RAGSDALE DRIVE BLDG. 1 SUITE 120 

    
    MONTEREY 
    CA 93940"
CA2400300   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14476&tinwsys_st_code=CA&wsnumber=CA2400300   ,"8979 East Le Grand Avenue

	
	

	
    
    
    

	LE GRAND,CA95333",http://maps.google.com/maps?q=8979 East Le Grand Avenue  LE GRAND CA 95333,Business,510-935-6041   ,,,,,,,,,,,CA2400300-4 STOP DELI MARKET,,,,,,,,,,,,,,DISTRICT 11 - MERCED,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist11@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93720"
CA5500120   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=6985&tinwsys_st_code=CA&wsnumber=CA5500120   ,"P.O. Box 49

	
	

	
    
    
    

	COLUMBIA,CA95310",http://maps.google.com/maps?q=P.O. Box 49  COLUMBIA CA 95310,Business,209-532-4978   ,,,,,,,,,,,CA5500120-49ER TRAILER RANCH,,,,,,,,,,,,,,DISTRICT 11 - MERCED,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist11@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93720"
